id,candidate,candidate_confidence,relevant_yn,relevant_yn_confidence,sentiment,sentiment_confidence,subject_matter,subject_matter_confidence,candidate_gold,name,relevant_yn_gold,retweet_count,sentiment_gold,subject_matter_gold,text,tweet_coord,tweet_created,tweet_id,tweet_location,user_timezone
11,Donald Trump,1.0,,,Negative,1.0,,,,,,0,,,,,,,"Peoria, IL",
12,Mike Huckabee,1.0,,,Positive,1.0,,,,,,188,,,,,,,"Fargo, ND",
14,Jeb Bush,0.6947,,,Neutral,0.6421,,,,,,5,,,,,,,"Montgomery, AL ",
15,Scott Walker,1.0,,,Positive,1.0,,,,,,215,,,,,,,"San Diego, California",
20,Mike Huckabee,1.0,,,Negative,0.6669,,,,,,93,,,,,,,NJ,
29,Donald Trump,1.0,,,Negative,1.0,,,,,,2,,,,,,,Cleveland Texas,
41,Donald Trump,0.4302,,,Negative,0.6559,,,,,,4,,,,,,,"Chicago, IL",
45,Donald Trump,1.0,,,Negative,1.0,,,,,,0,,,,,,,"Washington, DC",
48,Donald Trump,1.0,,,Neutral,0.6524,,,,,,189,,,,,,,California,
50,Mike Huckabee,1.0,,,Negative,0.6458,,,,,,0,,,,,,,"Richmond, VA",
66,Rand Paul,1.0,,,Neutral,0.6559,,,,,,1322,,,,,,,"Seattle, WA",
69,Donald Trump,1.0,,,Positive,0.3508,,,,,,484,,,,,,,"Oxnerd, California",
71,Donald Trump,1.0,,,Negative,1.0,,,,,,0,,,,,,,"Pittsburgh, PA",
84,Ted Cruz,0.6977,,,Positive,0.6977,,,,,,1449,,,,,,,"Arrington, TN",
89,Donald Trump,1.0,,,Negative,1.0,,,,,,13,,,,,,,9/10th mile north Nowhere OK,
100,Donald Trump,1.0,,,Negative,0.6264,,,,,,4,,,,,,,"Las Vegas, Nevada",
114,Marco Rubio,1.0,,,Neutral,0.6545,,,,,,46,,,,,,,Arizona,
116,Scott Walker,1.0,,,Negative,1.0,,,,,,51,,,,,,,Delaware,
119,Donald Trump,1.0,,,Negative,0.6705,,,,,,2,,,,,,,Las Vegas NV,
133,Chris Christie,1.0,,,Positive,1.0,,,,,,1,,,,,,,"Los Angeles, CA",
143,Donald Trump,1.0,,,Negative,0.6429,,,,,,0,,,,,,,"Brooklyn, NY",
148,Jeb Bush,1.0,,,Negative,0.3563,,,,,,4,,,,,,,"Houston, Texas",
154,Marco Rubio,0.4123,,,Neutral,0.3263,,,,,,14,,,,,,,Central  Florida,
158,Ben Carson,0.41,,,Neutral,0.3279,,,,,,241,,,,,,,Delaware,
180,Ted Cruz,0.4805,,,Neutral,0.3636,,,,,,48,,,,,,,Washington State,
182,Donald Trump,1.0,,,Positive,0.7049,,,,,,1395,,,,,,,"Fort Worth, Texas",
189,Jeb Bush,0.6809999999999999,,,Negative,0.6652,,,,,,117,,,,,,,"Miami, FL",
195,Donald Trump,1.0,,,Negative,0.6941,,,,,,1,,,,,,,York,
199,Donald Trump,1.0,,,Positive,0.3529,,,,,,0,,,,,,,TX,
218,Ted Cruz,1.0,,,Negative,1.0,,,,,,10,,,,,,,"Ellicott City, Maryland",
221,Donald Trump,1.0,,,Negative,1.0,,,,,,64,,,,,,,Alto MI,
226,Donald Trump,1.0,,,Negative,1.0,,,,,,22,,,,,,,"Ellicott City, Maryland",
237,Donald Trump,1.0,,,Negative,1.0,,,,,,12,,,,,,,"Ellicott City, Maryland",
247,Donald Trump,1.0,,,Negative,1.0,,,,,,11,,,,,,,"Ellicott City, Maryland",
249,Donald Trump,1.0,,,Negative,0.6146,,,,,,14,,,,,,,"Ellicott City, Maryland",
252,Mike Huckabee,1.0,,,Negative,0.6738,,,,,,0,,,,,,,"Olympia, WA",
253,Donald Trump,1.0,,,Negative,1.0,,,,,,67,,,,,,,"Ellicott City, Maryland",
264,Ben Carson,0.6897,,,Negative,0.3678,,,,,,0,,,,,,,"Richmond, VA",
286,Donald Trump,1.0,,,Negative,1.0,,,,,,1216,,,,,,,California,
293,Donald Trump,1.0,,,Neutral,0.7188,,,,,,1,,,,,,,Musician/Recording Eng  - CA,
299,Donald Trump,1.0,,,Negative,1.0,,,,,,8,,,,,,,"Ellicott City, Maryland",
311,Marco Rubio,1.0,,,Negative,0.6958,,,,,,12,,,,,,,"McAllen, Texas",
314,Jeb Bush,0.3941,,,Negative,0.6277,,,,,,36,,,,,,,"OKC, OK",
320,Rand Paul,1.0,,,Neutral,0.6667,,,,,,17,,,,,,,"Ellicott City, Maryland",
333,Ted Cruz,1.0,,,Negative,0.6865,,,,,,4,,,,,,,"Ellicott City, Maryland",
345,Donald Trump,1.0,,,Positive,1.0,,,,,,0,,,,,,,"Brooklyn, NY",
354,Mike Huckabee,1.0,,,Positive,1.0,,,,,,15,,,,,,,Iowa,
355,Ben Carson,0.4311,,,Positive,0.6566,,,,,,0,,,,,,,Virginia,
357,Jeb Bush,0.4265,,,Negative,0.3469,,,,,,3,,,,,,,"Durham, North Carolina",
364,Donald Trump,0.6831,,,Positive,0.6175,,,,,,1,,,,,,,Bethesda Maryland USA,
373,Donald Trump,1.0,,,Negative,0.6966,,,,,,0,,,,,,,NY,
376,Mike Huckabee,1.0,,,Neutral,0.6237,,,,,,6,,,,,,,St.George Utah,
382,John Kasich,1.0,,,Positive,0.3636,,,,,,0,,,,,,,"New York, NY",
388,Donald Trump,1.0,,,Negative,1.0,,,,,,2,,,,,,,Tennessee,
391,Chris Christie,0.6595,,,Negative,0.6936,,,,,,0,,,,,,,"DFW, TX ",
393,Donald Trump,1.0,,,Positive,0.6489,,,,,,9,,,,,,,"Worcester, MA",
395,Donald Trump,1.0,,,Negative,1.0,,,,,,9,,,,,,,"Sugar Hill, GA",
398,Donald Trump,1.0,,,Positive,0.6897,,,,,,203,,,,,,,Texas,
399,Donald Trump,1.0,,,Positive,0.3445,,,,,,1,,,,,,,California,
403,Jeb Bush,1.0,,,Negative,1.0,,,,,,9,,,,,,,"Portland, OR",
408,Chris Christie,0.4074,,,Negative,0.6383,,,,,,0,,,,,,,New York,
411,John Kasich,0.6897,,,Neutral,0.6897,,,,,,24,,,,,,,Oregon,
414,Donald Trump,1.0,,,Negative,1.0,,,,,,3403,,,,,,,Salem Oregon,
425,Donald Trump,1.0,,,Positive,0.6769,,,,,,0,,,,,,,"USA, North Carolina ",
435,Donald Trump,0.4274,,,Negative,0.6538,,,,,,4,,,,,,,"Jamaica Plain, MA",
437,Mike Huckabee,1.0,,,Negative,0.6854,,,,,,0,,,,,,,"Olympia, WA",
438,Jeb Bush,1.0,,,Negative,1.0,,,,,,0,,,,,,,"Lawton, Oklahoma",
443,Donald Trump,0.6784,,,Positive,0.6765,,,,,,0,,,,,,,"Phoenix, Arizona",
452,Chris Christie,1.0,,,Negative,1.0,,,,,,0,,,,,,,"Saint Paul, MN",
453,Chris Christie,0.3819,,,Negative,0.618,,,,,,0,,,,,,,"San Diego, CA",
457,Donald Trump,1.0,,,Neutral,0.6703,,,,,,0,,,,,,,"Houston, TX",
462,Donald Trump,0.466,,,Positive,0.3479,,,,,,0,,,,,,,New York,
479,Mike Huckabee,0.2442,,,Positive,0.3548,,,,,,0,,,,,,,California,
485,Ted Cruz,1.0,,,Positive,0.6705,,,,,,42,,,,,,,"Eufaula, AL",
491,Rand Paul,1.0,,,Negative,0.6794,,,,,,33,,,,,,,Florida,
492,Donald Trump,1.0,,,Negative,1.0,,,,,,0,,,,,,,Urban Institute-Washington DC,
506,Marco Rubio,0.3872,,,Positive,0.6222,,,,,,0,,,,,,,"San Antonio, Texas",
519,Ben Carson,1.0,,,Positive,0.3518,,,,,,663,,,,,,,Texas,
526,John Kasich,0.3508,,,Neutral,0.6868,,,,,,0,,,,,,,"Long Island, NY",
529,Chris Christie,1.0,,,Neutral,1.0,,,,,,0,,,,,,,Washington DC,
529,Chris Christie,1.0,,,Neutral,1.0,,,,,,0,,,,,,,Washington DC,
539,Donald Trump,0.6813,,,Positive,0.3407,,,,,,0,,,,,,,"Red Bank, NJ",
542,Donald Trump,0.6859999999999999,,,Negative,1.0,,,,,,0,,,,,,,"Pasadena, CA",
555,Mike Huckabee,1.0,,,Positive,1.0,,,,,,0,,,,,,,"Mount Airy, North Carolina",
558,Donald Trump,1.0,,,Negative,0.669,,,,,,751,,,,,,,"Madison , AL",
565,Mike Huckabee,1.0,,,Negative,1.0,,,,,,1736,,,,,,,"Washington, DC",
567,Ben Carson,0.6882,,,Negative,0.6774,,,,,,0,,,,,,,SD,
580,Ted Cruz,0.4444,,,Positive,0.6667,,,,,,289,,,,,,,"Eufaula, AL",
592,Donald Trump,1.0,,,Negative,1.0,,,,,,0,,,,,,,"New York, NY",
606,Ben Carson,1.0,,,Negative,1.0,,,,,,607,,,,,,,Oregon,
611,Rand Paul,0.3872,,,Neutral,0.6222,,,,,,7,,,,,,,"Houston, Texas",
625,Rand Paul,1.0,,,Negative,1.0,,,,,,2,,,,,,, Clarkrange Tennessee,
640,Donald Trump,1.0,,,Negative,1.0,,,,,,18,,,,,,,"Buffalo, New York",
672,Donald Trump,1.0,,,Neutral,1.0,,,,,,655,,,,,,,Oregon,
676,Mike Huckabee,1.0,,,Positive,0.3441,,,,,,15,,,,,,,"Houston, Texas",
677,,0.2309,,,Negative,0.3618,,,,,,0,,,,,,,DC - MD - IL - IA,
677,,0.2309,,,Negative,0.3618,,,,,,0,,,,,,,DC - MD - IL - IA,
677,,0.2309,,,Negative,0.3618,,,,,,0,,,,,,,DC - MD - IL - IA,
677,,0.2309,,,Negative,0.3618,,,,,,0,,,,,,,DC - MD - IL - IA,
678,Donald Trump,1.0,,,Neutral,0.6774,,,,,,0,,,,,,,"Oak Park, IL",
680,Scott Walker,1.0,,,Negative,1.0,,,,,,0,,,,,,,"Long Island, NY",
710,Donald Trump,0.6983,,,Positive,0.3547,,,,,,6,,,,,,,Massachusetts,
714,Scott Walker,1.0,,,Negative,1.0,,,,,,20,,,,,,,Missouri & Florida Wisconsin,
714,Scott Walker,1.0,,,Negative,1.0,,,,,,20,,,,,,,Missouri & Florida Wisconsin,
714,Scott Walker,1.0,,,Negative,1.0,,,,,,20,,,,,,,Missouri & Florida Wisconsin,
747,Ben Carson,0.4379,,,Positive,0.6617,,,,,,0,,,,,,,Northeast-Central Florida,
749,Donald Trump,1.0,,,Negative,1.0,,,,,,1,,,,,,,"Richmond, VA",
753,Scott Walker,1.0,,,Positive,1.0,,,,,,0,,,,,,,Southern California,
757,Donald Trump,1.0,,,Negative,1.0,,,,,,0,,,,,,,Michigan,
759,Rand Paul,1.0,,,Positive,0.6629,,,,,,5,,,,,,,Massachusetts,
